iter	RMSE
0	14.71615667
1	14.2721318
2	13.77352585
3	13.35989449
4	12.96198908
5	12.60738924
6	12.27968835
7	11.95361097
8	11.6210902
9	11.26705805
10	10.95640255
11	10.64273698
12	10.35203007
13	10.06223419
14	9.804956654
15	9.545599613
16	9.301084401
17	9.065294966
18	8.874807294
19	8.698368565
20	8.500656997
21	8.334277679
22	8.159990011
23	8.013071304
24	7.858571763
25	7.721162902
26	7.583666445
27	7.468154323
28	7.349375034
29	7.241888365
30	7.142114088
31	7.025070318
32	6.926311631
33	6.839968909
34	6.743971018
35	6.653498946
36	6.576538781
37	6.495506551
38	6.426477933
39	6.349291272
40	6.285954016
41	6.229275817
42	6.168899667
43	6.116756212
44	6.064277511
45	6.019829527
46	5.969841573
47	5.92535658
48	5.882090374
49	5.843874949
50	5.797220425
51	5.763397451
52	5.730019885
53	5.694070774
54	5.659094164
55	5.628912552
56	5.600098331
57	5.571592398
58	5.547533304
59	5.521923269
60	5.498945544
61	5.482180343
62	5.46456441
63	5.446008832
64	5.42580884
65	5.403685561
66	5.390051293
67	5.368467506
68	5.350164517
69	5.333271375
70	5.320168291
71	5.30708528
72	5.293570154
73	5.280712348
74	5.266415874
75	5.252248646
76	5.241826667
77	5.229646456
78	5.217595556
79	5.208174023
80	5.198211396
81	5.185596758
82	5.172019925
83	5.161219095
84	5.153124102
85	5.141134956
86	5.138669947
87	5.131162358
88	5.118379239
89	5.11156995
90	5.10267767
91	5.094395188
92	5.091095995
93	5.08330306
94	5.069041552
95	5.059478559
96	5.050949972
97	5.043978997
98	5.036349411
99	5.029626788
100	5.019799904
101	5.010288832
102	5.002251051
103	4.995970667
104	4.985130938
105	4.979199386
106	4.974983634
107	4.96580151
108	4.96109768
109	4.955165846
110	4.947838628
111	4.941570029
112	4.936121719
113	4.93095996
114	4.924846282
115	4.920634405
116	4.915279381
117	4.913123434
118	4.909778781
119	4.902647927
120	4.89655083
121	4.892325757
122	4.891122658
123	4.888126064
124	4.881003835
125	4.875638677
126	4.868655492
127	4.863779396
128	4.857209124
129	4.851516336
130	4.846380101
131	4.841798022
132	4.835366398
133	4.832962693
134	4.829738554
135	4.826826141
136	4.823526375
137	4.820453225
138	4.815678101
139	4.807930454
140	4.804180859
141	4.800646645
142	4.794956833
143	4.791212198
144	4.783996536
145	4.780273541
146	4.77553656
147	4.770290177
148	4.76749556
149	4.762837322
150	4.75883251
151	4.755972339
152	4.752454031
153	4.750687821
154	4.745963888
155	4.739635409
156	4.732286933
157	4.725382499
158	4.72123872
159	4.716905931
160	4.703524534
161	4.700530939
162	4.697501293
163	4.688648169
164	4.687719002
165	4.682274121
166	4.677653251
167	4.673553023
168	4.671199102
169	4.66499272
170	4.662339797
171	4.658614736
172	4.655580423
173	4.65287934
174	4.646743077
175	4.639264018
176	4.630147872
177	4.626697641
178	4.623803613
179	4.620235099
180	4.61729019
181	4.61140986
182	4.607982538
183	4.604234044
184	4.596576881
185	4.592710776
186	4.58697003
187	4.579822129
188	4.578868551
189	4.576913534
190	4.566944508
191	4.564324278
192	4.559806183
193	4.554508016
194	4.548159709
195	4.543805699
196	4.541449344
197	4.538429861
198	4.535734359
199	4.533243284
